step,loss
9690,0.052
9700,0.082
9710,0.074
9720,0.065
9730,0.043
9740,0.052
9750,0.072
9760,0.079
9770,0.069
9780,0.077
9790,0.069
9800,0.094
9810,0.072
9820,0.061
9830,0.067
9840,0.07
9850,0.054
9860,0.061
9870,0.109
9880,0.097
9890,0.085
9900,0.093
9910,0.071
9920,0.089
9930,0.067
9940,0.07
9950,0.063
9960,0.059
9970,0.067
9980,0.091
9990,0.079
10000,0.062
10010,0.075
10020,0.069
10030,0.069
10040,0.057
10050,0.061
10060,0.073
10070,0.057
10080,0.078
10090,0.056
10100,0.053
10110,0.107
10120,0.065
10130,0.071
10140,0.062
10150,0.069
10160,0.057
10170,0.177
10180,0.053
10190,0.063
10200,0.078
10210,0.072
10220,0.077
10230,0.049
10240,0.069
10250,0.087
10260,0.069
10270,0.077
10280,0.044
10290,0.094
10300,0.062
10310,0.069
10320,0.053
10330,0.062
10340,0.066
10350,0.056
10360,0.057
10370,0.077
10380,0.052
10390,0.079
10400,0.058
10410,0.065
10420,0.051
10430,0.06
10440,0.063
10450,0.069
10460,0.079
10470,0.073
10480,0.062
10490,0.088
10500,0.065
10510,0.072
10520,0.06
10530,0.082
10540,0.059
10550,0.054
10560,0.086
10570,0.056
10580,0.06
10590,0.058
10600,0.051
10610,0.058
10620,0.064
10630,0.063
10640,0.05
10650,0.072
10660,0.058
10670,0.063
10680,0.086
10690,0.052
10700,0.057
10710,0.119
10720,0.071
10730,0.101
10740,0.099
10750,0.054
10760,0.081
10770,0.054
10780,0.071
10790,0.089
10800,0.07
10810,0.076
10820,0.05
10830,0.054
10840,0.095
10850,0.082
10860,0.072
10870,0.063
10880,0.083
10890,0.078
10900,0.086
10910,0.062
10920,0.075
10930,0.061
10940,0.052
10950,0.063
10960,0.052
10970,0.063
10980,0.096
10990,0.067
11000,0.058
11010,0.064
11020,0.051
11030,0.044
11040,0.056
11050,0.105
11060,0.059
11070,0.063
11080,0.073
11090,0.072
11100,0.06
11110,0.055
11120,0.059
11130,0.065
11140,0.108
11150,0.063
11160,0.063
11170,0.075
11180,0.058
11190,0.074
11200,0.068
11210,0.077
11220,0.051
11230,0.084
11240,0.051
11250,0.124
11260,0.064
11270,0.058
11280,0.06
11290,0.121
11300,0.07
11310,0.104
11320,0.085
11330,0.08
11340,0.076
11350,0.076
11360,0.104
11370,0.06
11380,0.058
11390,0.078
11400,0.062
11410,0.072
11420,0.063
11430,0.062
11440,0.066
11450,0.067
11460,0.062
11470,0.055
11480,0.061
11490,0.052
11500,0.091
11510,0.065
11520,0.06
11530,0.057
11540,0.064
11550,0.077
11560,0.047
11570,0.054
11580,0.105
11590,0.048
11600,0.068
11610,0.054
11620,0.068
11630,0.075
11640,0.061
11650,0.072
11660,0.057
11670,0.057
11680,0.063
11690,0.067
11700,0.055
11710,0.061
11720,0.066
11730,0.063
11740,0.075
11750,0.066
11760,0.049
11770,0.073
11780,0.069
11790,0.047
11800,0.092
11810,0.097
11820,0.089
11830,0.054
11840,0.067
11850,0.065
11860,0.053
11870,0.07
11880,0.072
11890,0.078
11900,0.093
11910,0.058
11920,0.074
11930,0.051
11940,0.051
11950,0.082
11960,0.081
11970,0.067
11980,0.081
11990,0.057
12000,0.076
12010,0.06
12020,0.057
12030,0.064
12040,0.109
12050,0.068
12060,0.084
12070,0.065
12080,0.048
12090,0.058
12100,0.057
12110,0.063
12120,0.059
12130,0.073
12140,0.092
12150,0.05
12160,0.053
12170,0.113
12180,0.067
12190,0.055
12200,0.115
12210,0.058
12220,0.052
12230,0.089
12240,0.078
12250,0.055
12260,0.072
12270,0.055
12280,0.066
12290,0.066
12300,0.077
12310,0.053
12320,0.058
12330,0.072
12340,0.071
12350,0.05
12360,0.066
12370,0.071
12380,0.065
12390,0.061
12400,0.059
12410,0.069
12420,0.056
12430,0.056
12440,0.083
12450,0.059
12460,0.055
12470,0.043
12480,0.053
12490,0.077
12500,0.071
12510,0.07
12520,0.061
12530,0.039
12540,0.04
12550,0.062
12560,0.096
12570,0.137
12580,0.082
12590,0.053
12600,0.087
12610,0.077
12620,0.049
12630,0.069
12640,0.053
12650,0.091
12660,0.055
12670,0.069
12680,0.052
12690,0.058
12700,0.043
12710,0.043
12720,0.058
12730,0.1
12740,0.071
12750,0.078
12760,0.059
12770,0.056
12780,0.053
12790,0.043
12800,0.048
12810,0.081
12820,0.073
12830,0.065
12840,0.058
12850,0.075
12860,0.062
12870,0.07
12880,0.055
12890,0.066
12900,0.064
12910,0.071
12920,0.088
12930,0.07
12940,0.062
12950,0.047
12960,0.055
12970,0.065
12980,0.071
12990,0.058
13000,0.05
13010,0.068
13020,0.051
13030,0.05
13040,0.073
13050,0.055
13060,0.056
13070,0.088
13080,0.06
13090,0.052
13100,0.083
13110,0.05
13120,0.052
13130,0.071
13140,0.052
13150,0.062
13160,0.093
13170,0.114
13180,0.058
13190,0.06
13200,0.054
13210,0.05
13220,0.076
13230,0.047
13240,0.075
13250,0.078
13260,0.047
13270,0.052
13280,0.061
13290,0.05
13300,0.055
13310,0.055
13320,0.035
13330,0.116
13340,0.073
13350,0.08
13360,0.103
13370,0.098
13380,0.069
13390,0.062
13400,0.064
13410,0.066
13420,0.043
13430,0.072
13440,0.067
13450,0.114
13460,0.067
13470,0.126
